stargazers_count is 53544
stargazers_count is 40910
stargazers_count is 40431
stargazers_count is 40179
stargazers_count is 39615
stargazers_count is 37903
stargazers_count is 36600
stargazers_count is 36343
stargazers_count is 35604
stargazers_count is 34578
stargazers_count is 33947
stargazers_count is 32314
stargazers_count is 31822
29001,30000,1
28001,29000,1
27001,28000,0
26001,27000,1
25001,26000,0
24001,25000,2
23001,24000,0
22001,23000,1
21001,22000,0
20001,21000,0
19001,20000,3
18001,19000,1
17001,18000,4
16001,17000,2
15001,16000,4
14001,15000,3
13001,14000,7
12001,13000,7
11001,12000,5
10001,11000,7
9001,10000,13
8001,9000,12
7001,8000,20
6001,7000,43
5001,6000,49
4001,5000,87
3001,4000,148
2001,3000,301
1001,2000,834

991,1000,17
981,990,15
971,980,34
961,970,10
951,960,24
941,950,13
931,940,14
921,930,13
911,920,24
901,910,30
891,900,17
881,890,18
871,880,18
861,870,22
851,860,18
841,850,22
831,840,15
821,830,29
811,820,21
801,810,29
791,800,26
781,790,31
771,780,23
761,770,26
751,760,34
741,750,42
731,740,26
721,730,33
711,720,34
701,710,33
681,690,37
671,680,34
661,670,27
651,660,42
641,650,32
631,640,37
621,630,36
611,620,45
601,610,46
591,600,45
581,590,50
571,580,46
561,570,51
551,560,45
541,550,56
531,540,58
521,530,43
511,520,55
501,510,62
491,500,65
481,490,53
471,480,66
461,470,79
451,460,71
441,450,71
431,440,85
421,430,89
411,420,88
401,410,89
391,400,98
381,390,101
371,380,112
361,370,108
351,360,143
341,350,135
331,340,130
321,330,141
311,320,154
301,310,135
291,300,166
281,290,188
271,280,197
261,270,198
251,260,220
241,250,220
231,240,252
221,230,269
211,220,294
201,210,335
191,200,379
181,190,394
171,180,430
161,170,469
151,160,523
141,150,602
131,140,716
121,130,865
111,120,837
101,110,1055
91,100,1295
81,90,1559
71,80,1879
61,70,2342
51,60,3249
41,50,4540
31,40,6983
21,30,12231
11,20,29372
1,10,501241
