stargazers_count is 293370
stargazers_count is 110188
stargazers_count is 108294
79001,80000,0
78001,79000,0
77001,78000,1
76001,77000,0
75001,76000,0
74001,75000,1
73001,74000,0
72001,73000,0
71001,72000,0
70001,71000,0
69001,70000,0
68001,69000,0
67001,68000,1
66001,67000,0
65001,66000,0
64001,65000,0
63001,64000,0
62001,63000,0
61001,62000,0
60001,61000,0
59001,60000,0
58001,59000,1
57001,58000,1
56001,57000,0
55001,56000,0
54001,55000,0
53001,54000,1
52001,53000,1
51001,52000,0
50001,51000,0
49001,50000,1
48001,49000,0
47001,48000,0
46001,47000,1
45001,46000,1
44001,45000,0
43001,44000,4
42001,43000,1
41001,42000,2
40001,41000,1
39001,40000,2
38001,39000,2
37001,38000,1
36001,37000,2
35001,36000,0
34001,35000,0
33001,34000,4
32001,33000,2
31001,32000,1
30001,31000,2
29001,30000,4
28001,29000,1
29001,30000,4
28001,29000,1
27001,28000,2
26001,27000,3
25001,26000,3
24001,25000,9
23001,24000,3
22001,23000,10
21001,22000,1
20001,21000,2
19001,20000,14
18001,19000,6
17001,18000,9
16001,17000,12
15001,16000,14
14001,15000,16
13001,14000,31
12001,13000,27
11001,12000,39
10001,11000,41
9001,10000,50
8001,9000,74
7001,8000,78
6001,7000,130
5001,6000,141
4001,5000,227
3001,4000,390
2001,3000,696
1001,2000,1897
991,1000,21
981,990,41
971,980,44
961,970,25
951,960,29
941,950,44
931,940,37
921,930,35
911,920,36
901,910,40
891,900,38
881,890,44
871,880,50
861,870,48
851,860,40
841,850,37
831,840,59
821,830,55
811,820,56
801,810,65
791,800,55
781,790,59
771,780,54
761,770,47
751,760,64
741,750,49
731,740,68
721,730,81
711,720,56
701,710,68
691,700,85
681,690,76
671,680,84
661,670,60
651,660,82
641,650,81
631,640,93
621,630,80
611,620,96
601,610,97
591,600,101
581,590,92
571,580,98
561,570,107
551,560,106
541,550,100
531,540,102
521,530,123
511,520,123
501,510,100
491,500,116
481,490,129
471,480,154
461,470,150
451,460,154
441,450,142
431,440,175
421,430,175
411,420,189
401,410,191
391,400,202
381,390,206
371,380,219
361,370,213
351,360,212
341,350,268
331,340,277
321,330,269
311,320,269
301,310,307
291,300,326
281,290,333
271,280,341
261,270,369
251,260,404
241,250,425
231,240,465
221,230,549
211,220,546
201,210,591
191,200,637
181,190,729
171,180,787
161,170,954
151,160,989
141,150,1137
131,140,1236
121,130,1438
111,120,1530
101,110,1873
91,100,2219
81,90,2642
71,80,3472
61,70,4262
51,60,5665
41,50,7892
31,40,11874
21,30,18188
11,20,50421
1,10,858593
1,1000,858594

