stargazers_count is 44832
29001,30000,0
28001,29000,0
27001,28000,0
26001,27000,0
25001,26000,0
24001,25000,0
23001,24000,0
22001,23000,0
21001,22000,0
20001,21000,0
19001,20000,0
18001,19000,1
17001,18000,0
16001,17000,2
15001,16000,2
14001,15000,0
13001,14000,3
12001,13000,1
11001,12000,3
10001,11000,2
9001,10000,8
8001,9000,3
7001,8000,9
6001,7000,12
5001,6000,17
4001,5000,32
3001,4000,84
2001,3000,107
1001,2000,350
1,1000,324055

991,1000,5
981,990,10
971,980,9
961,970,9
951,960,7
941,950,8
931,940,6
921,930,8
911,920,7
901,910,6
891,900,10
881,890,10
871,880,11
861,870,11
851,860,10
841,850,9
831,840,14
821,830,8
811,820,14
801,810,16
791,800,10
781,790,10
771,780,7
761,770,19
751,760,8
741,750,12
731,740,10
721,730,18
711,720,17
701,710,14
691,700,13
681,690,13
671,680,19
661,670,23
651,660,15
641,650,17
631,640,19
621,630,16
611,620,16
601,610,7
591,600,16
581,590,16
571,580,14
561,570,12
551,560,28
541,550,19
531,540,22
521,530,19
511,520,27
501,510,31
491,500,15
481,490,21
471,480,16
461,470,24
451,460,25
441,450,37
431,440,37
421,430,31
411,420,40
401,410,33
391,400,40
381,390,43
371,380,58
361,370,36
351,360,53
341,350,66
331,340,66
321,330,76
311,320,77
301,310,66
291,300,70
281,290,73
271,280,77
261,270,80
251,260,74
241,250,92
231,240,118
221,230,106
211,220,113
201,210,130
191,200,154
181,190,180
171,180,178
161,170,200
151,160,207
141,150,226
131,140,272
121,130,333
111,120,389
101,110,455
91,100,510
81,90,647
71,80,835
61,70,1052
51,60,1400
41,50,1969
31,40,3240
21,30,6006
11,20,15119
1,10,288442
