from_group,from_arti,整体包名,to_group,to_arti,被依赖的整体包名
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat,servlet-api,org.apache.tomcat.servlet-api
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat,dbcp,org.apache.tomcat.dbcp
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.maven.wagon,wagon-provider-api,org.apache.maven.wagon.wagon-provider-api
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat,jsp-api,org.apache.tomcat.jsp-api
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.maven,maven-artifact,org.apache.maven.maven-artifact
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,ch.qos.logback,logback-core,ch.qos.logback.logback-core
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.codehaus.plexus,plexus-utils,org.codehaus.plexus.plexus-utils
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat,jasper-el,org.apache.tomcat.jasper-el
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat,catalina,org.apache.tomcat.catalina
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.tomcat,coyote,org.apache.tomcat.coyote
org.apache.tomcat.maven,tomcat-maven-plugin,org.apache.tomcat.maven.tomcat-maven-plugin,org.apache.maven.plugin-tools,maven-plugin-annotations,org.apache.maven.plugin-tools.maven-plugin-annotations
