from_group,from_arti,整体包名,to_group,to_arti,被依赖的整体包名
org.jboss,jboss-parent,org.jboss.jboss-parent,org.jboss,jbossorg-fonts,org.jboss.jbossorg-fonts
org.jboss,jboss-parent,org.jboss.jboss-parent,org.apache.felix,org.osgi.compendium,org.apache.felix.org.osgi.compendium
org.jboss,jboss-parent,org.jboss.jboss-parent,org.jboss,jbossorg-docbook-xslt,org.jboss.jbossorg-docbook-xslt
org.jboss,jboss-parent,org.jboss.jboss-parent,org.easymock,easymockclassextension,org.easymock.easymockclassextension
org.jboss,jboss-parent,org.jboss.jboss-parent,org.apache.ant,ant-launcher,org.apache.ant.ant-launcher
com.sun.jersey,jersey-project,com.sun.jersey.jersey-project,com.sun.jersey,jersey-server,com.sun.jersey.jersey-server
com.sun.jersey,jersey-project,com.sun.jersey.jersey-project,javax.servlet,javax.servlet-api,javax.servlet.javax.servlet-api
org.mybatis,mybatis-parent,org.mybatis.mybatis-parent,com.mycila,license-maven-plugin-git,com.mycila.license-maven-plugin-git
org.mybatis,mybatis-parent,org.mybatis.mybatis-parent,org.apache.maven.wagon,wagon-ssh,org.apache.maven.wagon.wagon-ssh
org.mybatis,mybatis-parent,org.mybatis.mybatis-parent,com.github.hazendaz,build-tools,com.github.hazendaz.build-tools
org.mybatis,mybatis-parent,org.mybatis.mybatis-parent,net.trajano.wagon,wagon-git,net.trajano.wagon.wagon-git
org.mybatis,mybatis-parent,org.mybatis.mybatis-parent,org.apache.maven.skins,maven-fluido-skin,org.apache.maven.skins.maven-fluido-skin
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,javax.transaction,jta,javax.transaction.jta
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,javax.jdo,jdo-api,javax.jdo.jdo-api
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,org.datanucleus,datanucleus-core,org.datanucleus.datanucleus-core
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,org.jboss.logging,jboss-logging,org.jboss.logging.jboss-logging
io.swagger,swagger-project,io.swagger.swagger-project,com.sun.jersey,jersey-servlet,com.sun.jersey.jersey-servlet
io.swagger,swagger-project,io.swagger.swagger-project,com.sun.jersey,jersey-server,com.sun.jersey.jersey-server
io.swagger,swagger-project,io.swagger.swagger-project,com.sun.jersey,jersey-client,com.sun.jersey.jersey-client
org.springframework.cloud,spring-cloud-netflix,org.springframework.cloud.spring-cloud-netflix,org.springframework.cloud,spring-cloud-starter-netflix-hystrix,org.springframework.cloud.spring-cloud-starter-netflix-hystrix
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.apache.httpcomponents,httpclient,org.apache.httpcomponents.httpclient
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,ch.qos.logback,logback-core,ch.qos.logback.logback-core
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j,neo4j-enterprise,org.neo4j.neo4j-enterprise
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j.driver,neo4j-java-driver,org.neo4j.driver.neo4j-java-driver
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.mockito,mockito-core,org.mockito.mockito-core
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j,neo4j,org.neo4j.neo4j
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j,neo4j-cluster,org.neo4j.neo4j-cluster
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j,neo4j-ha,org.neo4j.neo4j-ha
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,commons-io,commons-io,commons-io.commons-io
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j.test,neo4j-harness-enterprise,org.neo4j.test.neo4j-harness-enterprise
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,com.google.guava,guava,com.google.guava.guava
org.neo4j,neo4j-ogm,org.neo4j.neo4j-ogm,org.neo4j.test,neo4j-harness,org.neo4j.test.neo4j-harness
org.springframework.security,spring-security-web,org.springframework.security.spring-security-web,org.codehaus.groovy,groovy,org.codehaus.groovy.groovy
org.springframework.security,spring-security-web,org.springframework.security.spring-security-web,org.apache.tomcat,tomcat-servlet-api,org.apache.tomcat.tomcat-servlet-api
commons-validator,commons-validator,commons-validator.commons-validator,,,
org.springframework.data,spring-data-releasetrain,org.springframework.data.spring-data-releasetrain,org.springframework.data,spring-data-jdbc,org.springframework.data.spring-data-jdbc
org.apache.spark,spark-parent_2.11,org.apache.spark.spark-parent_2.11,org.fusesource.leveldbjni,leveldbjni-all,org.fusesource.leveldbjni.leveldbjni-all
org.apache.spark,spark-parent_2.11,org.apache.spark.spark-parent_2.11,com.fasterxml.jackson.core,jackson-annotations,com.fasterxml.jackson.core.jackson-annotations
org.codehaus.groovy,groovy-all,org.codehaus.groovy.groovy-all,jmock,jmock,jmock.jmock
org.codehaus.groovy,groovy-all,org.codehaus.groovy.groovy-all,jmock,jmock-cglib,jmock.jmock-cglib
org.codehaus.groovy,groovy-all,org.codehaus.groovy.groovy-all,xmlunit,xmlunit,xmlunit.xmlunit
org.codehaus.groovy,groovy-all,org.codehaus.groovy.groovy-all,hsqldb,hsqldb,hsqldb.hsqldb
org.codehaus.groovy,groovy-all,org.codehaus.groovy.groovy-all,org.livetribe,livetribe-jsr223,org.livetribe.livetribe-jsr223
org.codehaus.groovy,groovy-all,org.codehaus.groovy.groovy-all,org.apache.ant,ant-nodeps,org.apache.ant.ant-nodeps
io.micrometer,micrometer-registry-influx,io.micrometer.micrometer-registry-influx,org.slf4j,slf4j-api,org.slf4j.slf4j-api
io.micrometer,micrometer-registry-influx,io.micrometer.micrometer-registry-influx,io.micrometer,micrometer-core,io.micrometer.micrometer-core
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,com.aliyun.odps,odps-sdk-commons,com.aliyun.odps.odps-sdk-commons
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,org.bouncycastle,bcprov-jdk15on,org.bouncycastle.bcprov-jdk15on
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,com.google.protobuf,protobuf-java,com.google.protobuf.protobuf-java
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,org.codehaus.jackson,jackson-mapper-asl,org.codehaus.jackson.jackson-mapper-asl
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,org.xerial.snappy,snappy-java,org.xerial.snappy.snappy-java
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,commons-codec,commons-codec,commons-codec.commons-codec
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,commons-io,commons-io,commons-io.commons-io
com.aliyun.odps,odps-sdk,com.aliyun.odps.odps-sdk,net.sourceforge.javacsv,javacsv,net.sourceforge.javacsv.javacsv
org.apache.maven.surefire,surefire,org.apache.maven.surefire.surefire,org.apache.maven.shared,maven-common-artifact-filters,org.apache.maven.shared.maven-common-artifact-filters
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,com.github.stephenc.wagon,wagon-gitsite,com.github.stephenc.wagon.wagon-gitsite
org.apache,apache,org.apache.apache,org.semver,enforcer-rule,org.semver.enforcer-rule
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,org.apache.commons,commons-exec,org.apache.commons.commons-exec
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,org.apache.httpcomponents,httpclient,org.apache.httpcomponents.httpclient
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,com.google.code.gson,gson,com.google.code.gson.gson
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,commons-logging,commons-logging,commons-logging.commons-logging
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,org.apache.httpcomponents,httpcore,org.apache.httpcomponents.httpcore
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,org.seleniumhq.selenium,selenium-api,org.seleniumhq.selenium.selenium-api
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,net.java.dev.jna,jna-platform,net.java.dev.jna.jna-platform
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,commons-codec,commons-codec,commons-codec.commons-codec
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,net.java.dev.jna,jna,net.java.dev.jna.jna
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,cglib,cglib-nodep,cglib.cglib-nodep
org.seleniumhq.selenium,selenium-ie-driver,org.seleniumhq.selenium.selenium-ie-driver,com.google.guava,guava,com.google.guava.guava
org.apache.maven.surefire,surefire,org.apache.maven.surefire.surefire,org.mockito,mockito-all,org.mockito.mockito-all
io.netty,netty-parent,io.netty.netty-parent,org.apache.commons,commons-compress,org.apache.commons.commons-compress
io.netty,netty-parent,io.netty.netty-parent,com.google.protobuf.nano,protobuf-javanano,com.google.protobuf.nano.protobuf-javanano
io.netty,netty-parent,io.netty.netty-parent,com.ning,compress-lzf,com.ning.compress-lzf
io.netty,netty-parent,io.netty.netty-parent,net.jpountz.lz4,lz4,net.jpountz.lz4.lz4
io.netty,netty-parent,io.netty.netty-parent,org.jboss.marshalling,jboss-marshalling-river,org.jboss.marshalling.jboss-marshalling-river
io.netty,netty-parent,io.netty.netty-parent,org.jboss.marshalling,jboss-marshalling-serial,org.jboss.marshalling.jboss-marshalling-serial
io.netty,netty-parent,io.netty.netty-parent,com.github.jponge,lzma-java,com.github.jponge.lzma-java
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,jdom,jdom,jdom.jdom
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,xom,xom,xom.xom
org.sonatype.oss,oss-parent,org.sonatype.oss.oss-parent,xml-apis,xml-apis,xml-apis.xml-apis
org.mybatis.generator,mybatis-generator,org.mybatis.generator.mybatis-generator,org.junit.vintage,junit-vintage-engine,org.junit.vintage.junit-vintage-engine
org.mybatis.generator,mybatis-generator,org.mybatis.generator.mybatis-generator,commons-logging,commons-logging,commons-logging.commons-logging
org.mybatis.generator,mybatis-generator,org.mybatis.generator.mybatis-generator,org.slf4j,slf4j-api,org.slf4j.slf4j-api
org.mybatis.generator,mybatis-generator,org.mybatis.generator.mybatis-generator,com.github.javaparser,javaparser-core,com.github.javaparser.javaparser-core
org.mybatis.generator,mybatis-generator,org.mybatis.generator.mybatis-generator,org.apache.logging.log4j,log4j-api,org.apache.logging.log4j.log4j-api
org.springframework.cloud,spring-cloud-sleuth,org.springframework.cloud.spring-cloud-sleuth,io.projectreactor,reactor-core,io.projectreactor.reactor-core
org.springframework.cloud,spring-cloud-sleuth,org.springframework.cloud.spring-cloud-sleuth,org.reactivestreams,reactive-streams,org.reactivestreams.reactive-streams
org.springframework.cloud,spring-cloud-sleuth,org.springframework.cloud.spring-cloud-sleuth,org.awaitility,awaitility,org.awaitility.awaitility
org.apache.zookeeper,zookeeper,org.apache.zookeeper.zookeeper,checkstyle,checkstyle,checkstyle.checkstyle
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,org.bouncycastle,bcprov-jdk15on,org.bouncycastle.bcprov-jdk15on
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,com.github.jai-imageio,jai-imageio-core,com.github.jai-imageio.jai-imageio-core
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,com.levigo.jbig2,levigo-jbig2-imageio,com.levigo.jbig2.levigo-jbig2-imageio
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,commons-logging,commons-logging,commons-logging.commons-logging
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,junit,junit,junit.junit
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,com.googlecode.java-diff-utils,diffutils,com.googlecode.java-diff-utils.diffutils
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,org.apache.pdfbox,fontbox,org.apache.pdfbox.fontbox
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,com.github.jai-imageio,jai-imageio-jpeg2000,com.github.jai-imageio.jai-imageio-jpeg2000
org.apache.pdfbox,pdfbox-parent,org.apache.pdfbox.pdfbox-parent,org.bouncycastle,bcmail-jdk15on,org.bouncycastle.bcmail-jdk15on
org.elasticsearch.client,transport,org.elasticsearch.client.transport,org.elasticsearch.plugin,reindex-client,org.elasticsearch.plugin.reindex-client
org.elasticsearch.client,transport,org.elasticsearch.client.transport,org.elasticsearch,elasticsearch,org.elasticsearch.elasticsearch
org.elasticsearch.client,transport,org.elasticsearch.client.transport,org.elasticsearch.plugin,percolator-client,org.elasticsearch.plugin.percolator-client
org.elasticsearch.client,transport,org.elasticsearch.client.transport,org.elasticsearch.plugin,transport-netty4-client,org.elasticsearch.plugin.transport-netty4-client
org.elasticsearch.client,transport,org.elasticsearch.client.transport,org.elasticsearch.plugin,transport-netty3-client,org.elasticsearch.plugin.transport-netty3-client
org.elasticsearch.client,transport,org.elasticsearch.client.transport,org.elasticsearch.plugin,lang-mustache-client,org.elasticsearch.plugin.lang-mustache-client
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,commons-logging,commons-logging-api,commons-logging.commons-logging-api
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.hibernate.javax.persistence,hibernate-jpa-2.0-api,org.hibernate.javax.persistence.hibernate-jpa-2.0-api
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.byteman,byteman,org.jboss.byteman.byteman
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.hibernate,hibernate-validator,org.hibernate.hibernate-validator
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.byteman,byteman-bmunit,org.jboss.byteman.byteman-bmunit
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.shrinkwrap,shrinkwrap-api,org.jboss.shrinkwrap.shrinkwrap-api
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,commons-logging,commons-logging,commons-logging.commons-logging
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.jboss.byteman,byteman-install,org.jboss.byteman.byteman-install
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,javax.validation,validation-api,javax.validation.validation-api
org.hibernate,hibernate-entitymanager,org.hibernate.hibernate-entitymanager,org.hibernate,hibernate-testing,org.hibernate.hibernate-testing
